gene_gencodeV33	FDR_TADA_ASD	FDR_TADA_DD	FDR_TADA_NDD	p_TADA_ASD	p_TADA_DD	p_TADA_NDD
COL11A1	0.889466116	0.747794358	0.844090242	0.628292645	0.145734499	0.639769868
TPX2	0.889471304	0.74785696	0.844099006	0.628350167	0.145791836	0.639829459
TRAF6	0.889476492	0.747919524	0.844107769	0.628407689	0.145849173	0.639889051
RSRC2	0.889481678	0.747982049	0.844116531	0.628465211	0.14590651	0.639948642
NXN	0.889486864	0.748106983	0.844125291	0.628522733	0.146021184	0.640008234
CPEB1	0.889492049	0.748667278	0.84413405	0.628580255	0.146537218	0.640067825
SEMA3F	0.889497233	0.748853352	0.844142807	0.628637777	0.14670923	0.640127417
PRKAR2B	0.889502416	0.749286192	0.844151562	0.628695299	0.147110589	0.640187008
SYCP1	0.889507599	0.749347874	0.844160317	0.628752821	0.147167926	0.640246599
WDR1	0.88951278	0.49897603	0.582303714	0.628810343	0.04168002	0.115972072
ARHGAP23	0.88951796	0.749532693	0.84416907	0.628867865	0.147339938	0.640306191
SOCS6	0.88952314	0.749655717	0.844177821	0.628925387	0.147454612	0.640365782
FNDC3A	0.889528319	0.749717172	0.844186571	0.628982909	0.147511949	0.640425374
CLCN3	0.889533496	0.750268578	0.84419532	0.629040431	0.148027983	0.640484965
TUBB2B	0.889538673	0.750390701	0.844204067	0.629097954	0.148142657	0.640544556
PRDM2	0.889543849	0.09241306	0.12859303	0.629155476	0.003056512	0.007275856
FBXO32	0.889549025	0.750816956	0.844212812	0.629212998	0.148544017	0.640604148
CDK17	0.889554199	0.750938409	0.844221557	0.62927052	0.148658691	0.640663739
MAML3	0.889559372	0.75099908	0.844230299	0.629328042	0.148716028	0.640723331
GDF6	0.889564545	0.751180871	0.844239041	0.629385564	0.14888804	0.640782922
BMP2	0.889569716	0.375900749	0.46274191	0.629443086	0.023436117	0.064468493
GDA	0.889574887	0.563265547	0.643058141	0.629500608	0.056025087	0.158365531
UFD1	0.889580057	0.751904728	0.84424778	0.62955813	0.149576085	0.640842514
PCNX3	0.889585226	0.586749951	0.672443264	0.629615652	0.062539716	0.185680293
SCHIP1	0.889590394	0.752144843	0.844256519	0.629673174	0.149805433	0.640902105
RAD23B	0.889595561	0.470811311	0.555503683	0.629730696	0.036627894	0.101539873
COL6A1	0.889600727	0.752264683	0.844265256	0.629788218	0.149920107	0.640961696
DCLK1	0.889605893	0.752324548	0.844273991	0.62984574	0.149977444	0.641021288
PYGO1	0.889611057	0.752503927	0.844282725	0.629903262	0.150149456	0.641080879
SAFB2	0.889616221	0.75268298	0.844291458	0.629960784	0.150321467	0.641140471
PCBP2	0.889621384	4.71E-08	4.54E-08	0.630018306	5.12E-10	5.89E-10
IL6ST	0.889626546	0.753040115	0.844300189	0.630075828	0.15066549	0.641200062
SOX30	0.889631707	0.753632476	0.844308919	0.63013335	0.151238861	0.641259654
MRTO4	0.889636867	0.75380949	0.844317647	0.630190872	0.151410872	0.641319245
HERPUD1	0.889642026	0.753986185	0.844326374	0.630248394	0.151582883	0.641378836
REEP1	0.889647184	0.754045013	0.8443351	0.630305916	0.15164022	0.641438428
PSMA6	0.889652342	0.754162562	0.844343824	0.630363438	0.151754895	0.641498019
FADS2	0.889657499	0.174495668	0.247619643	0.63042096	0.007066743	0.01966432
FBXW7	0.889662654	8.46E-14	4.92E-14	0.630478482	6.28E-16	4.20E-16
LSM14B	0.889667809	0.755039708	0.844352546	0.630536004	0.152614951	0.641557611
TTBK1	0.889672963	0.037233025	0.05419498	0.630593526	0.001017979	0.002304883
PBX2	0.889678116	0.755156067	0.844361267	0.630651048	0.152729625	0.641617202
YWHAE	0.889683268	0.326791048	0.417958788	0.63070857	0.018303337	0.051596315
CRTC2	0.88968842	0.755446359	0.844369987	0.630766092	0.153016311	0.641676793
SMC2	0.88969357	0.755504314	0.844378705	0.630823614	0.153073648	0.641736385
SCFD1	0.88969872	0.755735788	0.844387422	0.630881136	0.153302996	0.641795976
POLD3	0.889703868	0.755909031	0.844396137	0.630938658	0.153475008	0.641855568
ESRP1	0.889709016	0.657356168	0.757687187	0.63099618	0.088236377	0.312259341
NDC1	0.889714163	0.756024356	0.844404851	0.631053703	0.153589682	0.641915159
RBM14-RBM4	0.889719309	0.756139543	0.844413564	0.631111225	0.153704356	0.641974751
PPP1R7	0.889724454	0.492153501	0.574559977	0.631168747	0.040397234	0.111582593
KANSL1	0.889729598	0	0	0.631226269	0	0
DAZL	0.889734742	0.756369508	0.844422275	0.631283791	0.153933705	0.642034342
CHMP6	0.889739884	0.756713435	0.844430984	0.631341313	0.154277727	0.642093933
ENG	0.889745026	0.75688494	0.844439692	0.631398835	0.154449739	0.642153525
KHDRBS1	0.889750167	0.428701684	0.519563757	0.631456357	0.030143471	0.085127945
TXLNA	0.889755307	0.488080179	0.571435476	0.631513879	0.039650473	0.109864607
RPS6KA5	0.889760446	0.757624626	0.844448399	0.631571401	0.155195121	0.642213116
SHH	0.889765584	0.037730752	0.05480771	0.631628923	0.001033864	0.002337818
BCL9L	0.889770721	0.605372584	0.6918278	0.631686445	0.068324506	0.207133131
SLC38A2	0.889775858	0.757851084	0.844457104	0.631743967	0.155424469	0.642272708
DCHS1	0.889780993	0.757907615	0.844465808	0.631801489	0.155481806	0.642332299
PLAGL2	0.889786128	0.758246103	0.844474511	0.631859011	0.155825829	0.64239189
RPL18A	0.889791261	0.758358668	0.844483212	0.631916533	0.155940503	0.642451482
GRID1	0.889796394	0.758527267	0.844491911	0.631974055	0.156112515	0.642511073
TMEM131	0.889801526	0.572334385	0.654657136	0.632031577	0.058447015	0.168490551
KIAA1211L	0.889806657	0.758807608	0.844500609	0.632089099	0.1563992	0.642570665
RPL19	0.889811788	0.011049138	0.017036227	0.632146621	0.000255411	0.000563176
RABL6	0.889816917	0.759198709	0.844509306	0.632204143	0.15680056	0.642630256
ATP2A2	0.889822046	0.284060779	0.372070676	0.632261665	0.014538489	0.040750206
ACTL6A	0.889827173	0.067167173	0.092102901	0.632319187	0.002055309	0.004598821
PRPF40B	0.8898323	0.759643726	0.844518001	0.632376709	0.157259257	0.642689848
ASTN2	0.889837426	0.759699208	0.844526695	0.632434231	0.157316594	0.642749439
CLOCK	0.889842551	0.75997613	0.844535387	0.632491753	0.157603279	0.64280903
RHEB	0.889847675	0.050511116	0.07779939	0.632549275	0.001457226	0.00367478
HDAC9	0.889852798	0.760141896	0.844544078	0.632606797	0.157775291	0.642868622
ANKRD13C	0.889857921	0.760197088	0.844552768	0.632664319	0.157832628	0.642928213
ARHGAP29	0.889863042	0.760637466	0.844561456	0.632721841	0.158291324	0.642987805
NELL2	0.889868163	0.760692369	0.844570143	0.632779363	0.158348662	0.643047396
MUC5B	0.889873283	0.76096641	0.844578828	0.632836885	0.158635347	0.643106988
CHRM3	0.889878402	0.761075805	0.844587512	0.632894407	0.158750021	0.643166579
MTMR4	0.88988352	0.761348738	0.844596194	0.632951929	0.159036707	0.64322617
MEX3A	0.889888637	0.761838035	0.844604875	0.633009452	0.159552741	0.643285762
RNPS1	0.889893753	0.696250591	0.81838107	0.633066974	0.108122855	0.498978654
SLC6A3	0.889898869	0.317557453	0.407571408	0.633124496	0.017441179	0.048959009
TFAP2D	0.889903983	0.762000571	0.844613554	0.633182018	0.159724752	0.643345353
PIK3CB	0.889909097	0.762054687	0.844622232	0.63323954	0.159782089	0.643404945
SKIDA1	0.88991421	0.408574216	0.495480077	0.633297062	0.02742129	0.075680726
SCUBE3	0.889919322	0.02364271	0.03488696	0.633354584	0.000602174	0.001330537
KLF6	0.889924433	0.358095237	0.441708538	0.633412106	0.021461493	0.058102437
ZNFX1	0.889929543	0.762216848	0.844630909	0.633469628	0.1599541	0.643464536
RBBP4	0.889934652	0.021021386	0.028562869	0.63352715	0.000526528	0.001042761
AKAP6	0.889939761	0.76237873	0.844639584	0.633584672	0.160126112	0.643524127
RBM15B	0.889944868	0.762432629	0.844648258	0.633642194	0.160183449	0.643583719
DLX2	0.889949975	0.324758999	0.417188443	0.633699716	0.01811112	0.051396539
BOD1L1	0.889955081	0.030726908	0.044070785	0.633757238	0.000814133	0.00177755
EBF1	0.889960186	0.264573861	0.350679313	0.63381476	0.012998208	0.036339615
USP1	0.88996529	0.763663808	0.84465693	0.633872282	0.161502202	0.64364331
BRD7	0.889970393	0.763770103	0.844665601	0.633929804	0.161616876	0.643702902
HMGXB3	0.889975496	0.763876278	0.844674271	0.633987326	0.161731551	0.643762493
CALD1	0.889980597	0.691765318	0.80900735	0.634044848	0.105547511	0.460074655
IRF2BP1	0.889985698	0.469553562	0.554514984	0.63410237	0.036416685	0.101046099
NTRK3	0.889990798	0.625077038	0.71602289	0.634159892	0.075151045	0.238945395
SLC8A2	0.889995896	0.506729336	0.591682772	0.634217414	0.043184002	0.121551509
PPP1R37	0.890000994	0.764773896	0.844682939	0.634274936	0.162706281	0.643822085
RPS6	0.890006092	0.765088638	0.844691606	0.634332458	0.163050304	0.643881676
RELB	0.890011188	0.639743299	0.73171119	0.63438998	0.080775484	0.263320501
PPP2CA	0.890016283	6.17E-06	5.11E-06	0.634447502	8.27E-08	8.24E-08
PTGS2	0.890021378	0.765766925	0.844700271	0.634505024	0.163795686	0.643941267
TEAD3	0.890026472	0.766285307	0.844708935	0.634562546	0.164369057	0.644000859
ITGB8	0.890031565	0.766336985	0.844717597	0.634620068	0.164426394	0.64406045
CTDNEP1	0.890036657	0.612234587	0.699531015	0.63467759	0.07061398	0.216591921
NFATC3	0.890041748	0.766491844	0.844726258	0.634735112	0.164598406	0.644120042
MORF4L1	0.890046838	0.766594939	0.844734917	0.634792634	0.16471308	0.644179633
NMNAT2	0.890051927	0.766903528	0.844743575	0.634850156	0.165057103	0.644239224
ATRNL1	0.890057016	0.767057434	0.844752232	0.634907678	0.165229114	0.644298816
GIT2	0.890062104	0.767211081	0.844760887	0.634965201	0.165401125	0.644358407
MEGF9	0.89006719	0.767873914	0.844769541	0.635022723	0.166146508	0.644417999
GANAB	0.890072276	0.565984205	0.646489722	0.635080245	0.056739576	0.161278822
STX1B	0.890077361	0.03294079	0.047969086	0.635137767	0.000882733	0.00197691
SAE1	0.890082446	0.768329989	0.844778194	0.635195289	0.166662542	0.64447759
WNT5A	0.890087529	0.768431029	0.844786845	0.635252811	0.166777216	0.644537182
GRHL2	0.890092612	0.768783786	0.844795494	0.635310333	0.167178575	0.644596773
TGFB3	0.890097693	0.433077943	0.522007713	0.635367855	0.030764841	0.086150518
RAB10	0.890102774	0.768884322	0.844804142	0.635425377	0.16729325	0.644656364
MCMBP	0.890107854	0.574942992	0.658586501	0.635482899	0.059164515	0.172104497
SPIN1	0.890112933	0.553127291	0.633306537	0.635540421	0.053447643	0.150442105
FMN2	0.890118011	0.769734396	0.844812789	0.635597943	0.16826798	0.644715956
FAM193B	0.890123088	0.148217228	0.205282767	0.635655465	0.005653637	0.01455094
NASP	0.890128165	0.770280204	0.844821434	0.635712987	0.168898689	0.644775547
PSPC1	0.890133241	0.770773533	0.844830078	0.635770509	0.16947206	0.644835139
ZFHX2	0.890138315	0.770822717	0.844838721	0.635828031	0.169529397	0.64489473
GTF2A1	0.890143389	0.770871874	0.844847362	0.635885553	0.169586734	0.644954322
CEP170B	0.890148462	0.770921004	0.844856001	0.635943075	0.169644071	0.645013913
INSYN2B	0.890153534	0.771117255	0.844864639	0.636000597	0.169873419	0.645073504
FOXJ1	0.890158606	0.771264161	0.844873276	0.636058119	0.170045431	0.645133096
RAPGEF6	0.890163676	0.771459661	0.844881912	0.636115641	0.170274779	0.645192687
FLI1	0.890168746	0.646222174	0.741093027	0.636173163	0.083426646	0.279620163
CRMP1	0.890173814	0.684500941	0.797758628	0.636230685	0.101547228	0.419449125
COL12A1	0.890178882	0.54386527	0.625010116	0.636288207	0.051206851	0.144080271
USP10	0.890183949	0.772430781	0.844890545	0.636345729	0.171421521	0.645252279
PYGO2	0.890189015	0.772575539	0.844899178	0.636403251	0.171593532	0.64531187
DCC	0.890194081	0.772623739	0.844907809	0.636460773	0.171650869	0.645371461
FZD5	0.890199145	0.77272006	0.844916439	0.636518295	0.171765544	0.645431053
DDX1	0.890204209	0.772864347	0.844925067	0.636575817	0.171937555	0.645490644
MAP4K5	0.890209271	0.773104303	0.844933694	0.636633339	0.172224241	0.645550236
AMD1	0.890214333	0.773247965	0.844942319	0.636690861	0.172396252	0.645609827
ERBIN	0.890219394	0.7732958	0.844950943	0.636748383	0.172453589	0.645669419
PSAP	0.890224454	0.773391394	0.844959566	0.636805905	0.172568263	0.64572901
AJM1	0.890229514	0.77353459	0.844968187	0.636863428	0.172740274	0.645788601
GRM4	0.890234572	0.773629925	0.844976807	0.63692095	0.172854949	0.645848193
EIF5	0.89023963	0.479135036	0.562087628	0.636978472	0.038056247	0.104894115
KIF5B	0.890244687	0.009568171	0.012838408	0.637035994	0.000217712	0.000405079
GALNT13	0.890249742	0.500096936	0.584785189	0.637093516	0.041894383	0.117420024
LOX	0.890254797	0.774057662	0.844985425	0.637151038	0.173370983	0.645907784
IRS2	0.890259852	0.77410506	0.844994042	0.63720856	0.17342832	0.645967376
PTPRZ1	0.890264905	0.77419978	0.845002658	0.637266082	0.173542994	0.646026967
UBE2D2	0.890269957	0.774294398	0.845011272	0.637323604	0.173657668	0.646086558
ARRDC3	0.890275009	0.574143728	0.656290954	0.637381126	0.058943658	0.16998141
SFRP1	0.89028006	0.774906941	0.845019884	0.637438648	0.17440305	0.64614615
EPB41L2	0.89028511	0.775000799	0.845028496	0.63749617	0.174517725	0.646205741
RYK	0.890290159	0.775188215	0.845037106	0.637553692	0.174747073	0.646265333
CACNG8	0.890295207	0.775235006	0.845045714	0.637611214	0.17480441	0.646324924
HNRNPF	0.890300254	0.775281772	0.845054321	0.637668736	0.174861747	0.646384516
CNTNAP5	0.890305301	0.775375229	0.845062927	0.637726258	0.174976421	0.646444107
RAB3GAP2	0.890310346	0.776165597	0.845071531	0.63778378	0.175951152	0.646503698
SRSF3	0.890315391	0.665020635	0.766709697	0.637841302	0.09175368	0.332425869
GNAZ	0.890320435	0.159640779	0.226317906	0.637898824	0.006253176	0.016978926
CREB3L1	0.890325478	0.463170807	0.548705633	0.637956346	0.035362572	0.0981977
PGD	0.89033052	0.776396698	0.845080134	0.638013868	0.176237838	0.64656329
TSPAN14	0.890335561	0.776627186	0.845088735	0.63807139	0.176524523	0.646622881
RAI14	0.890340602	0.77667321	0.845097335	0.638128912	0.17658186	0.646682473
PRLR	0.890345642	0.777177867	0.845105934	0.638186434	0.177212569	0.646742064
AKAP13	0.89035068	0.777314991	0.845114531	0.638243956	0.17738458	0.646801656
OPA1	0.890355718	0.130019331	0.182165526	0.638301478	0.004747614	0.012112455
RBM20	0.890360755	0.629011248	0.71986172	0.638359	0.076611103	0.244606527
RGS19	0.890365792	0.777770504	0.845123127	0.638416522	0.177957951	0.646861247
GOLGA2	0.890370827	0.699647784	0.825031076	0.638474044	0.110128365	0.529944502
BCR	0.890375862	0.778223621	0.845131721	0.638531566	0.178531322	0.646920838
SETX	0.890380895	0.7784042	0.845140314	0.638589088	0.17876067	0.64698043
EFNA5	0.890385928	0.778494348	0.845148905	0.63864661	0.178875344	0.647040021
NUP188	0.89039096	0.778539386	0.845157496	0.638704132	0.178932682	0.647099613
SCAMP1	0.890395991	0.169783736	0.241614918	0.638761654	0.006804188	0.018884344
SEC62	0.890401022	0.778674359	0.845166084	0.638819177	0.179104693	0.647159204
GDF11	0.890406051	0.435596008	0.524928298	0.638876699	0.03112775	0.087389857
C7orf26	0.89041108	0.77903325	0.845174672	0.638934221	0.17956339	0.647218795
CALCRL	0.890416107	0.779122738	0.845183257	0.638991743	0.179678064	0.647278387
CSMD3	0.890421134	0.779212132	0.845191842	0.639049265	0.179792738	0.647337978
NWD2	0.89042616	0.779390641	0.845200425	0.639106787	0.180022087	0.64739757
NRP1	0.890431186	0.779568776	0.845209007	0.639164309	0.180251435	0.647457161
AKAP11	0.89043621	0.779835283	0.845217587	0.639221831	0.180595458	0.647516753
ANTXR1	0.890441233	0.779968224	0.845226166	0.639279353	0.180767469	0.647576344
SRF	0.890446256	0.780012492	0.845234743	0.639336875	0.180824806	0.647635935
TOPAZ1	0.890451278	0.780100958	0.845243319	0.639394397	0.18093948	0.647695527
SKIL	0.890456299	0.780321721	0.845251894	0.639451919	0.181226166	0.647755118
KLHL29	0.890461319	0.780409865	0.845260467	0.639509441	0.18134084	0.64781471
AC008695.1	0.890466338	0.780453903	0.845269039	0.639566963	0.181398177	0.647874301
GNAQ	0.890471357	0.780497918	0.84527761	0.639624485	0.181455514	0.647933893
IRX5	0.890476374	0.780541911	0.845286179	0.639682007	0.181512851	0.647993484
TMEM131L	0.890481391	0.78058588	0.845294746	0.639739529	0.181570188	0.648053075
CYFIP1	0.890486407	0.780717652	0.845303313	0.639797051	0.1817422	0.648112667
MPRIP	0.890491422	0.780805385	0.845311878	0.639854573	0.181856874	0.648172258
FOXF1	0.890496436	0.780849218	0.845320441	0.639912095	0.181914211	0.64823185
CHMP4B	0.89050145	0.595212228	0.681240992	0.639969617	0.065094183	0.195032297
UBQLN4	0.890506462	0.781024322	0.845329003	0.640027139	0.182143559	0.648291441
PDZRN3	0.890511474	0.154925299	0.215602737	0.640084661	0.006003016	0.015715222
SUCO	0.890516485	0.781199065	0.845337564	0.640142183	0.182372908	0.648351032
EEA1	0.890521495	0.7812863	0.845346123	0.640199705	0.182487582	0.648410624
WDFY4	0.890526504	0.781460501	0.845354681	0.640257227	0.18271693	0.648470215
RAPGEF5	0.890531512	0.661851065	0.761613475	0.640314749	0.090277777	0.32080473
ANAPC1	0.890536519	0.781677747	0.845363237	0.640372271	0.183003616	0.648529807
RFC1	0.890541526	0.781721129	0.845371792	0.640429793	0.183060953	0.648589398
MET	0.890546532	0.352562925	0.438340398	0.640487315	0.020874582	0.057136965
KIT	0.890551537	0.560297507	0.63913089	0.640544837	0.055256438	0.155113167
CNOT10	0.890556541	0.781894434	0.845380346	0.640602359	0.183290301	0.64864899
ATXN1L	0.890561544	0.516352196	0.602694418	0.640659881	0.045125989	0.128501578
KCNQ5	0.890566546	0.095606351	0.131714548	0.640717403	0.00319098	0.007526832
KCNK9	0.890571548	0.039239519	0.057259197	0.640774926	0.001082311	0.00247112
HOXA13	0.890576549	0.782369187	0.845388898	0.640832448	0.18392101	0.648708581
TSHZ2	0.890581549	0.782412213	0.845397449	0.64088997	0.183978347	0.648768172
RPL8	0.890586548	0.782455217	0.845405998	0.640947492	0.184035684	0.648827764
TDRD5	0.890591546	0.7824982	0.845414546	0.641005014	0.184093021	0.648887355
NAF1	0.890596543	0.782669908	0.845423093	0.641062536	0.184322369	0.648946947
MITF	0.89060154	0.782755631	0.845431638	0.641120058	0.184437044	0.649006538
SPDEF	0.890606535	0.695364261	0.815767793	0.64117758	0.107607497	0.487611578
NKTR	0.89061153	0.782926812	0.845440182	0.641235102	0.184666392	0.649066129
HSPE1-MOB4	0.890616524	0.783054969	0.845448725	0.641292624	0.184838403	0.649125721
RPS7	0.890621517	0.783225538	0.845457266	0.641350146	0.185067752	0.649185312
OSBPL9	0.89062651	0.783438261	0.845465805	0.641407668	0.185354437	0.649244904
NODAL	0.890631501	0.783523198	0.845474344	0.64146519	0.185469111	0.649304495
ABHD8	0.890636492	0.783565634	0.845482881	0.641522712	0.185526448	0.649364087
PLK1	0.890641481	0.783692812	0.845491416	0.641580234	0.18569846	0.649423678
EPS8	0.89064647	0.783862082	0.84549995	0.641637756	0.185927808	0.649483269
TCOF1	0.890651459	0.070696356	0.100532316	0.641695278	0.002188903	0.005177367
LAMA5	0.890656446	0.64183781	0.734629822	0.6417528	0.081621012	0.268241692
FOXC1	0.890661432	0.339209304	0.430002152	0.641810322	0.019510698	0.054809326
FBXL16	0.890666418	0.783988808	0.845508483	0.641867844	0.18609982	0.649542861
FAM155A	0.890671403	0.42943673	0.52008063	0.641925366	0.030246992	0.085343126
SCRIB	0.890676387	0.784115341	0.845517014	0.641982888	0.186271831	0.649602452
SRGAP2	0.89068137	0.784157476	0.845525544	0.64204041	0.186329168	0.649662044
EGR3	0.890686352	0.784325801	0.845534073	0.642097932	0.186558516	0.649721635
SCD	0.890691333	0.784367829	0.8455426	0.642155454	0.186615853	0.649781227
LIMCH1	0.890696314	0.784409836	0.845551126	0.642212976	0.186673191	0.649840818
CTNNA1	0.890701294	0.414784924	0.501986416	0.642270498	0.028238668	0.07812299
VPS35	0.890706272	0.784493785	0.84555965	0.64232802	0.186787865	0.649900409
ZNF512	0.890711251	0.784535728	0.845568173	0.642385542	0.186845202	0.649960001
RNF41	0.890716228	0.684394515	0.797705558	0.642443064	0.101490132	0.419271107
KNL1	0.890721204	0.784661429	0.845576694	0.642500586	0.187017213	0.650019592
TAF1L	0.89072618	0.784828733	0.845585215	0.642558108	0.187246562	0.650079184
TUBA1B	0.890731154	0.784870506	0.845593733	0.64261563	0.187303899	0.650138775
